Date,Sales
2023-01-01,52.4901424590337
2023-01-02,50.896298440467724
2023-01-03,53.565074747539775
2023-01-04,56.50166949861455
2023-01-05,51.540170402504906
2023-01-06,51.849577197205036
2023-01-07,57.5981186076118
2023-01-08,55.4702391809824
2023-01-09,52.06575829063693
2023-01-10,55.406729349750165
2023-01-11,52.6921158441161
2023-01-12,52.98678295357225
2023-01-13,55.40957871466926
2023-01-14,49.24152131414971
2023-01-15,50.10206460365549
2023-01-16,53.88303439818359
2023-01-17,52.82194386156124
2023-01-18,57.09102103109611
2023-01-19,53.70919222266841
2023-01-20,52.4783263122564
2023-01-21,61.39099020655652
2023-01-22,56.5922030864708
2023-01-23,57.74413660740741
2023-01-24,53.53571199495898
2023-01-25,56.44145255637942
2023-01-26,58.66810987364985
2023-01-27,55.13906014346328
2023-01-28,59.97165400710082
2023-01-29,57.29084897419
2023-01-30,58.46144350439361
2023-01-31,57.770590827307366
2023-02-01,65.36703197673293
2023-02-02,59.99937115595924
2023-02-03,57.09145512889134
2023-02-04,62.951891758984644
2023-02-05,57.036226933100515
2023-02-06,61.53457247852396
2023-02-07,55.232812816840486
2023-02-08,57.32562256369325
2023-02-09,62.093539985604494
2023-02-10,63.905455392033325
2023-02-11,62.38549324200551
2023-02-12,61.69992310167507
2023-02-13,61.31310057198186
2023-02-14,57.94437489176856
2023-02-15,60.37784830267475
2023-02-16,61.30674498947256
2023-02-17,66.00508224292277
2023-02-18,64.00333633402795
2023-02-19,57.81578050668956
2023-02-20,64.2031722165105
2023-02-21,62.19524314290287
2023-02-22,61.43279883518607
2023-02-23,65.40513292049586
2023-02-24,66.76306977633791
2023-02-25,66.55727463489382
2023-02-26,61.33251309438954
2023-02-27,63.00260509051941
2023-02-28,64.9974355446957
2023-03-01,66.99699592728881
2023-03-02,62.692855658740754
2023-03-03,63.62671655724078
2023-03-04,60.911300219756356
2023-03-05,60.68159720845269
2023-03-06,66.74101500726219
2023-03-07,68.39869932750204
2023-03-08,64.13382902018958
2023-03-09,67.37369832800042
2023-03-10,65.45463418112776
2023-03-11,62.43441008579558
2023-03-12,65.44745114463193
2023-03-13,68.9643600935411
2023-03-14,64.22329314644807
2023-03-15,68.99880595459042
2023-03-16,56.41337860399189
2023-03-17,66.6997521830217
2023-03-18,64.4503693003656
2023-03-19,63.24120717775408
